track_id,track_name,duration_minutes,popularity,explicit,primary_artist,all_artists,artist_count,artist_popularity,artist_followers,primary_genres,all_genres,genre_count,album_name,album_type,release_date,market,source_id,content_source,is_collaboration,is_recent,popularity_tier,duration_category
1AwmHLaRPX4970KLkbetPb,I Quit,5.53,39,false,The Smile,The Smile,1,49,559431,art rock,art rock,1,Wall Of Eyes,album,2024-01-26T00:00:00.000+07:00,AZ,6PdPOv5ybKZ9ZuGMk5iGZd,new_releases,false,true,Niche,Extended
4lJoUJq3JvNFJhD34MolQZ,si mê,4.35,38,false,T.R.I,T.R.I,1,52,271264,v-pop,v-pop | vietnam indie | vietnamese hip hop | vietnamese lo-fi,4,bíc iu,album,2023-11-28T00:00:00.000+07:00,AZ,40enaPIYSa75HfEDU06Dqh,new_releases,false,true,Niche,Long
4yJgSqf89poSNC6zIAwMQP,幕が上がる,4.71,66,false,back number,back number,1,74,5860613,j-pop,j-pop | j-rock,2,幕が上がる,single,2025-07-31T00:00:00.000+07:00,BA,7EMnnvi7tiuruBRbW9Zr92,new_releases,false,true,Popular,Long
3e9z7v3fc6KBXACJwj0St1,Y,5.71,42,false,HYUKOH,HYUKOH | 落日飛車 Sunset Rollercoaster,2,51,731949,k-rock,bedroom pop | chinese indie | k-ballad | k-rock | taiwanese indie,5,AAA,album,2024-07-10T00:00:00.000+07:00,BB,1tEu6qNPURb0YfjaRDK23w,new_releases,true,true,Moderate,Extended
7xKmcNxk4wF03Xpc4oIXbg,Get Lower,3.18,48,true,Steve Aoki,Steve Aoki | Lil Jon,2,69,3788173,electro house,crunk | edm | electro house,3,Get Lower,single,2024-02-09T00:00:00.000+07:00,BB,6L3OPsn0P4F6PNUDFGxDVV,new_releases,true,true,Moderate,Standard
0BIZA1d7W73fmhlktTDTvl,Down To Earth (Prologue),2.39,5,false,Khắc Hưng,Khắc Hưng,1,37,4866,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,Người Lạ Trong Mơ,album,2023-11-30T00:00:00.000+07:00,BD,5cLgaOUQ6oEz465yk5w1gN,new_releases,false,true,Underground,Standard
6dkq0GutcQqm5wol3KYnhV,Nhân Trần,3.34,27,false,BigDaddy,BigDaddy | Emily,2,53,353200,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,NHÂN TRẦN,album,2024-11-13T00:00:00.000+07:00,BF,2GBGr5d7QmSFkETVAsgWvx,new_releases,true,true,Niche,Standard
12bRpvn1FjjN15JIFnqinb,Dòng Sông Sao,3.37,19,false,Da LAB,Da LAB,1,59,1208551,v-pop,v-pop | vietnam indie | vietnamese hip hop | vietnamese lo-fi | vinahouse,5,M∞N,album,2024-10-05T00:00:00.000+07:00,BF,1miKX6uKi8aY4YSOKkrOHr,new_releases,false,true,Underground,Standard
4lTLmo9aTyMJ1SoHa63WA6,Friend Of A Friend,4.59,44,false,The Smile,The Smile,1,49,559431,art rock,art rock,1,Wall Of Eyes,album,2024-01-26T00:00:00.000+07:00,BF,6PdPOv5ybKZ9ZuGMk5iGZd,new_releases,false,true,Moderate,Long
24eClW0wZh5fFEFwsUWdSG,Cầu Vĩnh Tuy,2.53,47,false,Wren Evans,Wren Evans | itsnk,2,50,635176,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,LOI CHOI: The Neo Pop Punk,album,2023-12-17T00:00:00.000+07:00,BF,1c4nTHI2hreFeF5P37wf4f,new_releases,true,true,Moderate,Standard
720cFmiRJj0brle3kQ7nHH,Dreams From Bunker Hill,3.65,68,false,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,BG,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Long
3HCdFONw2wvrRsvJ5mcEDC,Lu Mờ (feat. Kris V),3.75,43,false,SOOBIN,SOOBIN | Kris V,2,62,1227574,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,BẬT NÓ LÊN,album,2024-06-25T00:00:00.000+07:00,BG,5tlCVkYaDAmAtJ5YxejpWi,new_releases,true,true,Moderate,Long
2kHjNMbCpe9uGXEHJzkoDR,Mấy Đứa Nhóc,4.38,42,true,Wxrdie,Wxrdie,1,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BH,1wmnEWgcDdCcOujQpLwYxc,new_releases,false,true,Moderate,Long
1xnVnK5ZHZaGEZ166eFpNJ,Bending Hectic,8.07,46,false,The Smile,The Smile,1,49,559431,art rock,art rock,1,Wall Of Eyes,album,2024-01-26T00:00:00.000+07:00,BH,6PdPOv5ybKZ9ZuGMk5iGZd,new_releases,false,true,Moderate,Extended
6t4COyo0AmQjUA1LsGRjoQ,B'Ignite,3.59,4,false,Kimmese,Kimmese,1,38,31687,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,FTOK,single,2023-12-06T00:00:00.000+07:00,BH,0SPyp6rOaeAbWQQAHJPMTU,new_releases,false,true,Underground,Long
6neduHxFO5U17QZ3mdrvZ3,Slower,3.91,15,false,Khắc Hưng,Khắc Hưng,1,37,4866,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,Người Lạ Trong Mơ,album,2023-11-30T00:00:00.000+07:00,BH,5cLgaOUQ6oEz465yk5w1gN,new_releases,false,true,Underground,Long
7r3hNQNjD2lRXnIfGEi5vl,TMT,3.9,21,false,Shi Shi,Shi Shi | Sean Ko,2,47,203881,chinese r&b,c-pop | chinese indie | chinese r&b | mandopop | taiwanese indie | taiwanese pop,6,Boomerang,album,2023-12-01T00:00:00.000+07:00,BI,2V2VAi4Rb2aDUWBtSvICMR,new_releases,true,true,Niche,Long
4yJgSqf89poSNC6zIAwMQP,幕が上がる,4.71,66,false,back number,back number,1,74,5860613,j-pop,j-pop | j-rock,2,幕が上がる,single,2025-07-31T00:00:00.000+07:00,BJ,7EMnnvi7tiuruBRbW9Zr92,new_releases,false,true,Popular,Long
30GWQ6VADULEZ3m5xWWaKU,Pray For,4.06,42,true,Wxrdie,Wxrdie | KayC,2,60,687456,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BJ,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Long
6cc5PzJUddXskJGHJINw9F,DANCING IN THE DARK,3.79,69,false,SOOBIN,SOOBIN,1,62,1227574,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,BẬT NÓ LÊN,album,2024-06-25T00:00:00.000+07:00,BJ,5tlCVkYaDAmAtJ5YxejpWi,new_releases,false,true,Popular,Long
3vsmNXDJsCUt2ESWPwFaAv,ĐĐĐ,3.62,38,false,Wren Evans,Wren Evans | itsnk,2,50,635176,v-pop,v-pop | vietnam indie | vietnamese hip hop | vinahouse,4,LOI CHOI: The Neo Pop Punk,album,2023-12-17T00:00:00.000+07:00,BJ,1c4nTHI2hreFeF5P37wf4f,new_releases,true,true,Niche,Long
